,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95
97,0.32,0.35000000000000003,0.39,0.39800000000000013,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
98,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
99,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
100,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
101,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
102,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
103,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
104,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
105,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
106,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
107,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
108,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
109,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
110,0.32,0.35000000000000003,0.39,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
111,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
112,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
113,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
114,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
115,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
116,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
117,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
118,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
119,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
120,0.32,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
121,0.32,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
122,0.32,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
123,0.32,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
124,0.32,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
125,0.32,0.35000000000000003,0.38,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
126,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
127,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
128,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
129,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
130,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
131,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
132,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
133,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
134,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
135,0.32,0.35000000000000003,0.38849999999999996,0.39,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
